,Reviews
831,"[Right from one of the cheesiest title sequences of the past few years, second only to maybe Welcome you can tell you are going to paraphrase the title from ""Who should I love?"" to kisse badla loon? ""Who should I avenge?"". But yet we are fair around here, so we don't pass judgment until we've seen it through to the end credits. No respite in sight. Oh well... What is so bad about the film? I think it'll just be easier to start with what's good about the film. Well, you can see Arshad Warsi's comic timing genius when he's trying to make the best of the sorriest lines ever. Especially when he tries to muster half-a-smile out of you with the references to masturbation. Why he does this to himself (no pun intended), I'm willing to give my right tiny toe to know. Ashish Chodary ... ok, now that's not a typo nor is it me trying to crack a good one, that's how his name is spelt in the opening credits! Anyway, Ashish - I admire him for his capacity to make a fool out of himself - film after film after film - playing a dog fetching biscuits or just acting human-silly. Anyway, you can't associate too much intelligence with someone who's signed a script like this. Ditto for Yash Tonk. The women do what women in such films do - play dumb, hold one expression throughout as if they are charged a fine if they changed it. Same rules seemed to have been applied to the costume designer who was told to make the most unwearable outfits possible. The story line of course is that these three are friends and generate loads of money though they don't really have a means of livelihood. Sorry, I digress. One of them falls in love with a girl who can't stand the sight of the other two. And so the battle begins. But since this is not enough masala to make a 80s film, we have a villain, an inspector, and a godfather thrown in. And since it is after all not a film from the 80s, we have random references to them sprinkled across. Actually it's wrong to call the references random because that'd be like saying only they are random. The entire product is one huge display of arbitrary  human misbehavior. What exactly is anyone thinking while writing, directing, producing something like this is beyond me. Just plain incomprehensible.]"
832,"[Movie ticket: Rs. 150Coffee + water: Rs. 60Guy in front of you banging his head in despair: PRICELESSIt's nice to know you have company for your sentiment towards the movie, right? I've never fancied horror too much. But while watching 13B I was wondering what I dislike more - the squirms when the movie is done well or the annoying 'typical' camerawork and background score which make it unintentionally funny. Some of these standard techniques were just too in the face and obviously annoying. That the movie took a turn for the better in the latter half didn't help much, because by then the enthusiasm of watching the movie had worn off. And since the TV is doing the haunting and making accurate forecasts, you end up seeing everything twice - once in the TV prediction and then in the movie. And sometimes the makers feel obliged to repeat a dialogue or two even after the first repetition. And if not that, then the TV was spoon-feeding us just in case we missed the point that real life was replicating reel life. Not to mention that the appliances taking over life bit is rubbed in till you are just about to begin tearing your hair apart. And why is there such a lack of creativity in trying to horrify us? When was the last time violins rising up to a crescendo didn't bring snickers and eye-rolls? I was craving a normal, straight, non-close-up shot. Some bits are so slow that the director without a doubt knew that the audience would know what is about to happen. Then, why would he do that? And am I the only one bothered when 'the unknown entity' is obsessed with the house address without any rhyme or reason? Madhavan though does a good job of portraying Manohar's anger, his frustration, his vulnerability. The rest of the cast is just about ok. A potentially scary concept was completely messed up. But, just imagine this. All the soap operas on television - what if our real life starts replicating them. Or we believe that our lives are replicating them and they become self-fulfilling prophecies. Now, that's what I call horror!]"
833,"[A wise man (Leon Trotsky?) once said, ""Everything is relative"". So if you compare Dhoondte Reh Jaoge to the regular ""three men get together to earn some easy money"" plot, you'll feel like a rag collector in the backyard of a 5-star hotel. Because it doesn't once loose focus. Other masala comedies start with mayhem, keep it going with chaos and end with utter pandemonium. The commotion created by this one though works towards the ultimate goal. But commotion there is, I guess it maybe called inevitable for this genre.This goal is a hilarious one. A producer (Paresh Rawal) gangs up with a smart Chartered Accountant (Kunal Khemu) to make a flop film. Why? When? What? You have to see the movie to find out. But what starts off with a decent sense of humor turns into one random poor joke stringed after another random poor joke. The smartness of the basic idea doesn't run through the film. And by the way, bring me a Chartered Accountant who wears anything other than blue, gray and white...and ok black.The individually funny elements are ultimately forced together, the flow ignored. The major concern of movies like this one must be - ""How do we end this madness?"" If you give it a mellow end, it'd feel like an anti-climax. If you give it a realistic end, it contradicts the tone of the rest of the film. If you end it on a happy note, it is predictable and cliche. So let's just make it obvious that we weren't interested in the climax and be done with it quick and easy. And fairly quick and easy it must have been for Paresh Rawal (Raj Chopra) to play the conniving conman. A couple of his scenes had me in splits. Sonu Sood (Aryan Kapoor) wears a sullen look almost through the movie. However, I enjoyed watching him go all starry-eyed when his girl is around. Kunal Khemu (Anand Pawar) seems to have done everything alright but yet he's not convincing as a geek or a guy who's in love or a schemer or a guy with confidence issues. Maybe it was the way his character was written. Soha Ali Khan (Neha) actually looks too smart to play such a dumb character. There seems to be no connection whatsoever between Anand and Neha. Both the actors and the way the romantic sub-plot is put together can share the blame for that one. It would be sheer stupidity if there are characters in a movie who are producers and film actors and it didn't have mention of other Hindi movies, right? And stupid they aren't. So there is an attempt to collect all the references they wanted on one page. Thread them together in a reasonably funny sequence with witty one-liners evenly spaced out. And go berserk. Then slowly deteriorate into a predictable pun-mode. There are a few additional bits they spoof well though. Like the comment on the role of women in Hindi movies. But that again was a good excuse for not giving the women characters any attention. Another comment is on the audience's capacity to lap up one irrational movie after another. And how there's no formula to make a successful film. Also it alludes to the fact that the makers have no judgment of the viewers' expectations. Actually, Dhoondte Reh Jaoge is in a win-win situation. If it goes down well with the audience - Yay! Hurray!! Chak De!!! If it doesn't the makers can say - ""Duh! It was intentional!!"" ]"
834,"[Imagine you are visiting a friend or relative and they happen to have invited a group of friends. You as an audience are then just sitting in a corner and observing these people interact and react with each other. You know bits and pieces of their lives and are exposed to their prejudices and vulnerabilities. Karma aur Holi is not too worried about the pace. It doesn't at all look rushed especially considering that it's covering some 10-odd characters in just 90 minutes. And while a movie that covers so many characters usually jumps from one's story to another this one had a certain flow. That it was all happening in one house might have contributed to that feel. Because it's just like the audience is walking from one room to another. Also after a long-long time the characters accents felt real. The casting was just perfect. The gorgeous Sushmita Sen is perfect as the charming hostess, Mira. She juggles between being diplomatic and firm like any home-maker would do. Randeep Hooda, Mira's husband is trying to run a business while sticking to his guns. And then there are the whole range of characters from various age groups and ethnicities. I particularly enjoyed Rati Agnihotri's performance as the jittery, intolerant, middle-aged mother of a teenager. The teenage son was pretty good at what he did too! And I almost wanted to counsel Suchitra Krishnamurty's character as the suppressed wife to break the shackles and run for her life. One character we wouldn't have missed would be the voiceover narrator! He was so redundant. As usual, such stories feel a desperate need to have a resolution for each character. And the desperation shows. Thankfully though the closure for most of the threads is not forced. Except for the Rati Agnihotri-Suresh Oberoi angle. The transformation there was absolutely unwarranted and left a very 'this happens only in films' feel. And yet despite all the things that were good about Karma aur Holi, there was a 'no big deal' attached to it. The holi and suburban New York background had nothing to do with it really. The characters were all very similar either us or someone we know. That gives it a real feel but it also doesn't make it anything spectacularly special.]"
835,"[Honestly, I'd be more than happy to have a one-line review here saying - ""Go watch the movie! Period."" But that would be a lazy woman at work. It's always difficult to point a finger at what you liked in a movie. It also sort-of takes away from the experience by intellectualizing and breaking down something that you enjoyed as a whole. But you gotta do what you gotta do, so here goes. When the opening credits begin a few minutes into the movie, I was shocked to realize - not once in those 3-4 minutes did it cross my mind that I was actually listening to a character give a political, inspirational speech. The visuals of those were so engaging and Kay Kay Menon's expressions so intense that they completely occupied my senses. For a person who gets bored very easily by monologues that even remotely sound like lectures, this was one big score on the positive side. The effort spent on casting showed in every pick and they performed well too. To name one would be to do injustice to the other and the list is really long. The women might seem a bit off because of their eccentricities but then again that might have been very intentional because they are not your regular 'miss goody two shoes' women-next-door. And the positives only grew in number after that. Sure there's politics, and there's an undercurrent of romance. But there's a lot more happening underneath. There's dissatisfaction everywhere. The entire chain of power from the fieldworker to the henchmen to the puppet-leader to the chief strategist wants to exude confidence, power and smart-Alecness till the next person higher up comes in. Each one wants to claim superiority and find someone to pull down. Now, this is as true in state politics as it is in home or office politics. There are many more subtle things which only a second or third viewing can uncover but you somehow sense their existence. And there are of course, what I call the director's eccentricities like the blue-and-red man and the flautist. Then there's this strong sexual and gender-bias flittering around in this ecosystem. Though Anurag's women all seem to have a fierce sensuousness about them, they don't seem unreal and neither does it seem out-of-place, forced, contrived or any such thing. This I need to mention because I very liberally label an unnecessary expression of sexuality 'gratuitous'. I always get apprehensive when I begin looking forward to a movie. The last thing anyone should do to themselves is spoil their experience because of their own expectations. But, one thing we can safely look forward to with a Anurag Kashyap film now is awesome and novel music, even better lyrics and perfect use of the compositions. Too many words to describe something that one needs to get completely absorbed and soaked in. Let me just stop writing here, so you can stop reading and go watch the movie. ]"
836,"[A movie starts and it goes on and on and on. Not in terms of sluggish pace, but just that it's playing and you are watching because you are there - indifferent and uninvolved. It is movies like these which try to stylize Kunal Khemu and Fardeen Khan that make you appreciate the charisma of Shah Rukh Khan and Salman Khan. At least their screen presence makes them worthy of all the slo-mo entries they've been awarded over the years. Kunal Khemu has just no oomph factor whatsoever; why he's asked to don ""star"" like mannerisms is just incomprehensible. Not to mention that he has a very annoying voice and dialogue delivery style. Reminds of the shrieky, eye-candy women in regular Hindi slapstick films. And Fardeen Khan does his tiny-mouth-pout with a nose flare that only he is capable of, to emote anger and love. It's not like there isn't room for variation in the concept but the emotions run only skin-deep. The story is no great shakes, as in, by and large things are predictable. But, every once in a while there are a couple of lines or a tiny twist that take it away that little bit from the absolutely thoughtless genre of films. And here again it is left at that and not taken an inch deeper.Like any other movie of this style, songs appear 'just because...' But what gets annoying is the ridiculous set designs and wannabe 'stylish' type of camerawork during the songs. Also the voices used for the actors are so different from their own voices that they distract even more from the viewing experience. Though there was this one visual with Dia Mirza wearing a bright red and orange flowing skirt and swaying around in radiant-blue sea water. Whether her dress was losing color in water or the colors were mixed intentionally it doesn't matter. It was just beautiful. Anyway, this is yet another absolutely skippable movie. But, if you happen to see snippets, you can hold on for a bit.]"
837,"['It's ok to be gay', 'Imperfections make people real', 'Laughing at yourself loosens you up', 'Loosening up is of utmost importance to live life king-size', and 'A life shouldn't be lived without love' - all tacky lines yet noble thoughts. But when they are given an additional coat of honey with misty eyes, etc they become just too cheesy to digest. Because of these sloppy lines the very pertinent, contemporary, and important subject at hand seems like a joke.  There is no attempt at avoiding cliches. Sure gays are not the butt of jokes but the other elements used are slapsticky. I understand that a subject needs to be treated lightly for it to be approachable. But, this attempt to make gay look normal is done without any sensitivity to the gay guy's pathos. It is a brilliant concept to try and project homophobia without embarrassing homosexuals or stereotyping them. It is also an awesome idea to consider what might happen if this homophobic suspects that he is gay, good grief! For him and sadly for us, as an audience too. And this entire hullabaloo to what end? Never mind the process of getting there is absolutely irrational, hardly relatable, and very suspiciously real. Also there is no flow in the process of one event leading to another. Characters are either flat or transform too easily. Some gags seem really forced in, for example, it feels like a character is given a particular name only so that a specific pun is used. It is sickening that I couldn't feel anything for a character played by Vinay Pathak. After movies like Bheja Fry and Dasvidaniya with Vinay Pathak in the lead you sort-of begin to trust his choice of scripts and you know that at the very least they are going to be different. And different, Straight is. Only that different unfortunately doesn't always translate to good or in this case even average. How can any out-of-the-ordinary script do so much injustice to Vinay Pathak that every time he comes on screen, it hurts? An equally pertinent question would be why Gul Panag spent her energies on a ping-pong ball type of a role. Yes, yes, explanation coming through. Remember, the woman in Hindi cinema from the 80s-90s? How she would be tossed around from Hero number 1 to Hero number 2 or parent or villain and back to Hero number 1? How can an intelligent actor like Gul and her equally intelligent character Renu do this to herself? I just can't stop shaking my head in despair I wouldn't even know where to begin in describing my dejection with the entire sound design and visuals. Suddenly, they make you feel like you are in a cartoon film. I admit I liked the first time a car in London transitioned into a tempo-truck on an Indian road. But then, the technique was repeated too often with too loud a whoosh to be likable any further. There are way too many coincidences in the story and we are asked to make way too many assumptions for this film to work. It's very important that sexual orientation become common talk in our lives and movies are the way to begin.  But shoddily done films aren't going to cut the deal.  And thus another half-decent plot goes more zig-zag than straight and in vain.]"
838,"[Firaaqisn't the first film about the communal riots in Gujrat. And it isn't the first well-made film either. You can sense each character being approached with sensitivity yet there's no attempt at sensationalizing by gory visuals or lengthy dialogue or dramatizing trauma. All of these have huge potential and are often used in movies with this backdrop.As dead bodies are passed along in the first few scenes you know this is going to be serious business. And Firaaq offers no respite. Male chauvinism, identity crisis, communal differences effecting friendship, impact of violence on a young mind, a philosopher's hope, rebel by the suppressed, an innocent victim's helplessness, misuse of the angst created, and ultimately the mother of all issues - no solution in sight. All of these are brought to you one after the other, relentlessly. These facets of human nature rightly need a variety of characters. The effort behind writing each character shows clearly. Sure some of them, like a chauvinist Gujrati husband (Paresh Rawal) or an agitated Muslim (Nowaz) might have been easier to write because they play on the standard stereotypes. But, others like the sensitized house-wife (Deepti Naval), the confused urban businessman (Sanjay Suri) have been worked hard upon. Use of multiple languages adds to the realistic environment created. A sudden line of profundity comes in just like one person from a group of friends might spurt one out while arguing about some socially relevant issue. And yet the movie is not entirely engaging. It could be because it offers no closure but that also leaves a sense of incompleteness. for a movie so careful about what it's trying to say, there were some scenes which didn't really belong. It's difficult to imagine that they were there without a purpose but because I didn't understand them they distracted me. White, black or gray - not one actor leaves an ounce of doubt in terms of believability - including some of the side characters. Again with a film so full of brilliant performances, it's difficult to name one even if it is the most senior of them. Because even a child with his blank eyes contributes equally to the film as do the veterans. There aren't any strong fundamentalist characters who are propagating their agenda. So there are no lectures. In fact you see how situational each character's behavior is. There are some brilliant moments that are subtly enacted which are better experienced than read about in a review.Firaaqvery, very carefully doesn't take sides. There are as many ""good"", ""evil"", and ""indifferent"" characters from both Hindu and Muslim communities. If at all, it points a finger, it aims a big fat one at the bias of the state's administration. As with any film that has multiple stories running in parallel there are jerky cuts. But these are kept at a minimum and on the contrary some transitions are done really well. It's also nice to hear the background music come about only occasionally. That grants so much more subtlety to the entire film. The aftermath of the riots in Gujrat is captured by the trauma that each human in the city is facing. And of course, Firaaqalso talks about the non-humans who looked upon this as an opportunity and took advantage to their fullest capacity.]"
839,"[The deja vu feeling makes you uneasy as you see the ""Amerika-returned"" boy look for a suitable match in India. The set-up that you must have seen umpteen number of times in various movies touching upon the issue. And unexpectedly, the cliched setting of an arranged marriage meeting changes into a quirky comic situation. The smile that starts at that point stays on until after you've left the theater. Sure there aren't any laugh-your-guts-out moments but there are many sweet comic moments and a few idiosyncratic elements that render a light and yet complex texture to the story. Very cleverly Aloo Chat salutes the alternative to eloping - a trend set by Dilwale Dulhaniya Le Jayenge. Intermittently, it also reminds you of the number of Hrishikesh Mukherjee/Basu Chatterjee films set in middle class families. Though it is a good start towards being one of them, it doesn't come close to becoming one. The Mukherjee and Chatterjee films had a knack of making the most improbable situations seem real. Here a possibly real situation seems contrived. And yet you are reminded of films like Chupke Chupke, Bawarchee and Hamari Bahu Alka.The story is sprinkled with interesting characters. From Nikhil's (Aftab Shivdasani's) resentful dad to his suspicious maternal uncle, Chaddami to his tolerant grandmother to the street-side chaat vendor - each one was given lines that added to their personality. There is something very refreshing about Chaddami who is supposedly a fool everyone loves to put down but is actually the most observant of them all. The cast is not outstanding because it is still caricature-like and the film does tend to slip into slapstick mode every once in a while. But, they all do a good job of making us smile with their timing and the specific style of dialogue delivery assigned to each one of them. There is also this underlying element of putting things in perspective or emphasizing the fact that 'everything is relative'. This is done through the story and not explicitly verbalized. Sure, the film goes into preachy mode only for about two sentences towards the end. But that's hardly anything to complain about. It is ultimately a clean comedy that doesn't even pretend to make you laugh out loud. Neither does it try to be a technically brilliant product. They just want you to grin and smirk and think about a socially relevant issue. And achieve that, they do.]"
840,"[What does a person wish in his life - love, money, respect or all of this? Every common man wishes for all of this and these wishes are what Barah Aana basically talks about. Needs, desires and  dreams bring people together but they also test trust and sanity.These aspirations bring the three lead players of this story together. Each one has his own dreams and needs, and is working hard to meet them. But, with one incident, their approach to life not only changes  but also exposes the darker side of their quests. This is a dark comedy about the lives of common people and director, Raja Menon, handles it deftly. Though his debut film, Bas Yun Hi sunk without trace, with this film Menon proves that he is an accomplished storyteller. The problem, though, is with the story he has decided to tell. It doesn't have the bite to grip you. The screenplay is decent enough to keep you guessing, but the movie gives you a feeling of incompleteness. The dialogues are crisp and witty, and sometimes even howlarious. It is that kind of a movie, where after watching it, you take back few incidents and performances and not the movie as a whole.Menon has superbly cast his three protagonists. Vijay Raaz is the utter face of the common man. His body language, his expressions and his dialogue delivery are as perfect as always. He will remind you of every third person you see walking on the street. One knew that Arjun Mathur has talent after watching him in Farhan Akhtar's short film Positive and in the recent Luck By Chance. Barah Aana only supplements this fact.Naseeruddin Shah is his usual self - Brilliant! Raja Menon, makes  the veteran's character speak his first word only in the second half of the film, but still makes the audience whistle out loud at every body movement of the super-actor. The title signifies the three-quarters and not the full worth awarded to the efforts of a common man. It's the same with the movie. It does not rise up to its full worth and is disappointing as the film could have delivered a lot. But it's a decent watch nonetheless.]"
841,"[That the specter of the Holocaust continues to prey upon the psyche of Europe and to some extent America, as evinced by the number of films and documentaries that are made with unceasing regularity, nearly seventy years post World War II, comes as no surprise, given the agony and torment that the Holocaust generated. Some of the notables in the recent past have included, Roman Polanski's The Pianist, Roberto Benigni's Life is Beautiful, and Steven Spielberg's Schindler's List.  Most of them have depicted events from the Jewish point of view; of suffering Jews struggling for survival in the face of extreme cruelty perpetrated by the Nazis, or else they have been about people who in some way rescued Jews from the ""Final Solution"". The Reader deals with the Holocaust too, but presents itself fundamentally as a love story and a tale of lost innocence; a love story between two highly disparate individuals who in some ways are quite like each other. The film follows a non linear narrative; continuously juxtaposing the present with the remembered past and then plunging back into the not so recent present. This could get confusing for some viewers; but as one has to follow the lives of primarily the two main characters and their encounters with each other, a little patience is well rewarded. Stephen Daldry who earlier gave us the beautifully understated Billy Elliot is in charge here, and he makes a solid job of it. The film opens with an adult Michael Berg played by Ralph Fiennes, ruminating over his past where he has a chance encounter with Hannah (Kate Winslet). We do not see Fiennes for nearly two thirds of the film, except in brief moments, as the story is about his younger self and that is played by David Kross. The first half of the film is shot in soft focus and in warm colours, highlighting the first flush of love for the young Michael and also possibly the discovery of his own sexuality. This phase of the film comes across as idyllic, and we slowly come to understand that both Michael and Hannah have some things in common. The rest of the film then deals with more traumatic events, events that have influenced a nation and whose very presence seeps into the lives of future generations. The film raises questions about collective guilt, shame, individual choice and responsibility, and the notion of justice as different from law and morality. These issues are teased out through the lives of the two protagonists, who exemplify ""normal"" individuals, but from two different generations. Both protagonists have made choices, and continue to make them, but we are never very sure about their motives. This ambiguity in both the characters is highlighted repeatedly, thus possibly making us aware of the shortcomings of being human; shortcomings for which we have no clear answers. The strength of the film lies in how it takes the overarching theme of the Holocaust and examines it through the perspective of two ordinary German citizens. The script builds layers by commenting on the nature of forgiveness and reconciliation, by examining the role of the legal system, and by depicting the tremendous repercussions such ""historic"" events have on day to day living. The film has no heart stopping moments, no heart wrenching dialogues; it is deeply emotional but it is all done in a subtle and restrained manner. As with life, the film does not offer us a closure and a neat resolution, and questions remain unanswered. Ralph Fiennes is a pleasure to watch as always, while David Kross portrays the adolescent and later the troubled young Michael Berg, very well. Kate Winslet's ample curves are on display early on in the film, but it is in her face and her eyes, that her character germinates. The Reader is not an easy film to watch especially for Indian viewers; we have nothing comparable to the Holocaust embedded in our collective consciousness. True, the Partition and its related cruelty and inhumanity have happened, but they seem to have been completely buried as far as popular culture is concerned, barring a stray film here and there. That the Partition has spawned and continues to spawn intolerance and violence has not really been examined and commented upon. That could possibly be because we as a Nation, collectively reject notions of History, and instead are very comfortable embracing Mythology in its stead. The Reader is a very European film, in the sense that it examines History through a critical lens and digs deep into the collective well spring of national consciousness. Definitely worth a dekkho. PS. The film uses the leit motif of reading and of a literary consciousness to underscore the lives of the two protagonists. Again very European, this use of literature and literacy as a perspective on human thought and action.]"
842,"[David Fincher is known for his films that tend to be ruminative, bleak inquiries into the human condition, as seen through the eyes of the chief protagonist. His earlier Seven and Fight Club both starred Brad Pitt and were extremely grim. Here he teams up with writer Eric Roth (of Forrest Gump fame) and Brad Pitt for The Curious Case of Benjamin Button and gives us a film which is in parts hopeful and uplifting, with respect to its take on life and living. One essential feature of being human is our capacity to reflect on our lives; we try hard to make some sense out of all the chaos that we experience. We are bound by Time; we are born young and are inexorably doomed to age, and die. That is something we cannot defeat. One tends to visualize life as a journey; a journey where we acquire companions and lose them, knowing fully well that there would come a time when we would be lost to others too. But what if it all happened in reverse? Just supposing that one is born old; then the journey would start with old age and end with baby hood. This would provide us with a completely different perspective; we would be born looking at the world with eyes that are old and rheumy and die in the cradle. This is the angle that the film adopts, and the director and writer use this outlook to fashion a story about the chief character's (Benjamin Button) life. The similarities with Forrest Gump are immediately obvious; Benjamin is born with a debilitating physical condition, there is a woman who remains the love of his life, he moves through well defined time periods in American History, and tries to make sense of it all and in the process gives some pithy sayings about life. The key difference is that in Forrest Gump, History was one of the main characters, Gump existed as a prop for History; here History is given short shrift(though we are constantly aware of it as an addendum to the frame). The movie is not that cheesy either (remember that line about life and a box of chocolates in Forrest Gump?), it instead comes across as a rather detailed portrait of Benjamin Button. The movie has three stages: Benjamin's childhood, his coming of age as he leaves home to learn a trade, and his eventual return and death. Brad Pitt is Benjamin Button and his portrayal is satisfactory Special effects technologies are employed to transform Brad Pitt's physical appearance at various stages in the film. The special effects are very well done, including the makeup for the face and skin, that blend completely into the frame. But Pitt's acting somehow falls short; as a child Pitt does nothing that would demonstrate the limitations that his body has with respect to his mental age.  We see no glimpses of mischief, nor of childlike curiosity barring a couple of fleeting scenes. But that is it, and somehow this tremendous opportunity to reflect on how a young child (mentally) trapped in an old and aged body would respond is completely lost. Benjamin Button's character also comes across as too goody goody, there is nary a bad bone in his body and he is constantly polite and clear of heart. That is something difficult to digest, and especially with his physical condition. We see no signs of frustration, irritation, or anger; he is as sweet as an angel throughout. Contrast this with Daniel Day Lewis's performance in My Left foot for example. The supporting cast is tremendous. Taraji Henson as Queenie is very good and so is Tilda Swinton as Elizabeth Abott. The portrayal of the tugboat captain, Captain Mike, who considers himself an artist, by Jared Harris is brilliant. Cate Blanchett is adequate throughout; she looks particularly radiant when she plays the younger Daisy. David Fincher maintains a steady tempo and sticks to old fashioned story telling; no sudden shifts in time, no fast cuts, and no handheld cameras either. The tale unfolds at a leisurely pace, and is packed with incidents, and hence the pace does not flag. The period feel is beautifully recreated; the opening footage of the clock maker who makes a clock which runs in reverse, the scenes of Benjamin's childhood in the old age home, the meetings with Elizabeth Abbott in the lobby of the Russian hotel, all look and feel natural. The movie seems to suggest a subversive message - that old age is not all that bad and that growing younger is something to be feared and avoided. This is in complete contrast to the youth obsessed consumer culture that is prevalent today. The movie also possibly points out that both old age and childhood are nearly the same - something that the Bard of Avon also pointed quite some centuries ago. This is a film which flows gently; there are no sudden surprises, no fortuitous acts of God either. Overall the film is rock solid without being outstanding, and is definitely for those who would want to think about their lives in the dark comfort of a theatre.]"
843,"[Domestic violence and women's empowerment would be the superficial issues that Videsh touches upon. Though these are by no means trivial, there are several deeper matters the film also tries to talk about. There's reference to the fact that strength of human willpower is generally under-rated. But one's strength doesn't necessarily have to be just willpower or intelligence or courage; it can be a subtler and a more abstract human capability. True - physical, verbal and thus mental abuse by different members of the family do make the marriage shown here incomparable to an average marriage. But the incompatibility between expectations and realities of a marriage are true of any marriage.  Preity Zinta gives the character, Chand, her vulnerability and her strength, her fear and her defiance. I can watch Videsh a few more times just to appreciate the nuances of her deglamorized performance. Vansh Bhardwaj plays her husband Rocky and does an equally laudable show. Given these acts and how well-thought the film is, it's difficult to imagine that the wooden expressions worn by the rest of the cast are unintentional. The glaring non-performances must have a reason I haven't been able to figure out. If nothing else, the indifferent faces effectively add to Chand's loneliness. This feeling of being alone while in company is magnified by the use of silence and of poetic prose in Chand's dialogues. Her disintegration due to her circumstances are a product of Rocky's aversion to talking - which means a wise non-usage of words to build his character. His silence frustrates us as an audience and sort-of makes us feel his frustration though we are not aware of the specifics. Then you have references to the Almighty and His influence on our lives is something that irks me often because of the kitschy way it is done in Hindi films. And in general, unless the plot's underlying assumption is the supernatural phenomenon, it works against the film. But, here in its quirky way, Videsh uses these things to represent the moral support and the liberation Chand feels. It also added to the heavy cynicism apparent in the title of the film Videsh - Heaven on Earth. A foreign land where Indians will do anything to go, but will end up creating anything but heaven there. And yet I feel something other than magical intervention would have worked much better as a symbol. The eerie close-ups, the slightly annoying handheld camera work, the unsettling silence due to the lack of background music, all add to the claustrophobic atmosphere Chand must experience in the ""free"" Western world. None of the outwardly issues touched upon have anything new about them - an abusive family, sarcasm at Indians' attempt to create India outside India, human crassness, strength of women, etc. But the philosophical bent given to the movie makes it far more superior to any other movie in this genre.]"
844,"[Nope. There's no hope of anything to do with Akshay Kumar ever being unglamorous or non-stylized. If Nagesh Kukunoor can't do it, no one can. Given that 8 x 10 Tasveer is a thriller, maybe the whole super-heroic personality accorded to the main lead is very intentional. But, it borders disbelief so closely that the film feels more like comedy and doesn't strike awe at all. And I'm not yet talking of the superpowers he has. That Jai (Akshay Kumar) can look into the past has to be accepted as an assumption. The weird mumbo-jumbo provided as explanation is only to be ignored. Once you do that, it's an interesting concept and opens a world of opportunities. Nagesh's use of his protagonist's ability gives the regular ""who dunnit"" a very nice flavor. Jai realizes things bit by bit and with him the audience becomes aware of what had happened. This slow unfolding adds to the curiosity. And yet somehow there's no connection between Jai and me as an audience. There's a distance which stays through the movie and doesn't let me get too involved. I blame the over-dramatization for that. Either the hero or the villain resurrecting like he is The Terminator is just too 80-90ish for me and thus exasperating.  ""Die already"" you feel like yelling from the audience. This reminds me of the ""fall already"" that a viewer actually yelled in the theater at the never-ending, pointless jump that Jai makes in one of the early sequences. Had the whole theater laughing! The script does a good job of pointing a finger at all involved. Just like a person looking for an answer would suspect every one around him. But my problem with such mysteries is that the foreshadowing is more an attempt to confuse than to give a tiny bit away. Deleting elements from a scene and then later showing that element is no way of saying, ""caught you!"" It's cheating. Twists are awesome and I love it when they catch me unaware. But some of the twists here either come a tad too late and you can pre-empt them. Or they are almost out of the blue and a little too difficult to digest. Another thing that annoys me is the villain spelling everything out to the hero and thus to the audience. There surely must be a better way to go about this. Even if you discount for the fact that action films don't necessarily need a whole deal of acting, most of the performances are wooden. Especially Girish Karnad - there was a sizable amount of guffawing at his dialogue delivery. While Akshay Kumar does his usual bit, Ayesha Takia is just about tolerable. What's happening to this woman who was so impressive just two years ago. Javed Jafferi on the other hand brought a smile if not laughter with every movement - this time very intentional. By the way, I shudder to think what Nagesh will do if he ever has a full blown bedroom scene in his script. Just a hug comes out as heavily awkward. Or was Sharmila Tagore strutting around with the censor scissors on set? Drop the baggage associated with a Nagesh Kukunoor film. He seems to be struggling to strike a balance between his sensibilities and those of mainstream cinema. Don't worry, the stylish titles will help you along - they are really slick but so not what you associate with the Kukunoor name. Maybe he's trying to say, ""I can make such films too!"" Also, keep the Akshay Kumar 'star' style tag on sans the loudness - thankfully! And then you might give yourself a good chance to enjoy this.]"
